#           x            Ma
     0.086207      0.243315
     0.143678      0.243837
      0.20115      0.244367
     0.258621      0.244895
     0.316092      0.245465
     0.373564      0.246105
     0.431035      0.246825
     0.488507      0.247628
     0.545978      0.248521
     0.603449      0.249507
     0.660921      0.250594
     0.718392      0.251786
     0.775863      0.253086
     0.833334      0.254501
     0.890806      0.256033
     0.948277      0.257686
      1.00575      0.259464
      1.06322      0.261368
      1.12069      0.263403
      1.17816       0.26557
      1.23563      0.267874
       1.2931      0.270316
      1.35058      0.272899
      1.40805      0.275624
      1.46552      0.278495
      1.52299      0.281513
      1.58046      0.284683
      1.63793      0.288005
       1.6954      0.291485
      1.75287      0.295124
      1.81035      0.298929
      1.86782      0.302902
      1.92529      0.307048
      1.98276      0.311371
      2.04023      0.315879
       2.0977      0.320572
      2.15517      0.325462
      2.21264      0.330552
      2.27011      0.335852
      2.32758      0.341365
      2.38506      0.347104
      2.44253      0.353071
          2.5       0.35928
      2.55747      0.365734
      2.61494      0.372444
      2.67241      0.379416
      2.72988       0.38666
      2.78735      0.394183
      2.84482      0.401993
      2.90229        0.4101
      2.95977      0.418511
      3.01724      0.427233
      3.07471      0.436277
      3.13218      0.445648
      3.18965      0.455358
      3.24712       0.46541
      3.30459      0.475816
      3.36206       0.48658
      3.41953      0.497712
        3.477      0.509219
      3.53447      0.521105
      3.59195      0.533379
      3.64942      0.546044
      3.70689      0.559107
      3.76436       0.57257
      3.82183      0.586437
       3.8793      0.600708
      3.93677      0.615385
      3.99424      0.630465
      4.05171      0.645947
      4.10918      0.661826
      4.16666      0.678094
      4.22413      0.694741
       4.2816      0.711757
      4.33907      0.729123
      4.39654      0.746821
      4.45401      0.764824
      4.51148      0.783101
      4.56895      0.801615
      4.62643      0.820318
       4.6839      0.839152
      4.74137      0.858048
      4.79884      0.876924
      4.85631      0.895683
      4.91378      0.914215
      4.97125      0.932402
      5.02873      0.950124
       5.0862      0.967275
      5.14367      0.983772
      5.20114      0.999578
      5.25861       1.01471
      5.31608       1.02922
      5.37355       1.04321
      5.43103       1.05683
       5.4885        1.0702
      5.54597       1.08345
      5.60344       1.09666
      5.66091       1.10987
      5.71838       1.12311
      5.77585       1.13636
      5.83333       1.14959
       5.8908       1.16278
      5.94827        1.1759
      6.00574       1.18892
      6.06321       1.20182
      6.12068        1.2146
      6.17815       1.22724
      6.23563       1.23974
       6.2931       1.25209
      6.35057       1.26429
      6.40804       1.27634
      6.46551       1.28821
      6.52298       1.29991
      6.58045       1.31141
      6.63793        1.3227
       6.6954       1.33379
      6.75287       1.34464
      6.81034       1.35525
      6.86781       1.36561
      6.92528       1.37569
      6.98275       1.38549
      7.04022       1.39499
       7.0977       1.40418
      7.15517       1.41305
      7.21264       1.42157
      7.27011       1.42974
      7.32758       1.43753
      7.38505       1.44493
      7.44252       1.45193
          7.5       1.45851
      7.55747       1.46465
      7.61494       1.47032
      7.67241       1.47553
      7.72988       1.48022
      7.78735       1.48438
      7.84482         1.488
      7.90229       1.49103
      7.95977       1.49347
      8.01724       1.49525
      8.07471       1.49643
      8.13218       1.49695
      8.18965        1.4967
      8.24712       1.49551
      8.30459       1.49338
      8.36207       1.49045
      8.41954       1.48654
      8.47701       1.48167
      8.53448       1.47567
      8.59195       1.46861
      8.64942       1.46032
      8.70689       1.45081
      8.76437       1.43992
      8.82184       1.42771
      8.87931       1.41401
      8.93678       1.39896
      8.99425       1.38244
      9.05172       1.36466
      9.10919       1.34561
      9.16666       1.32561
      9.22414       1.30479
      9.28161       1.28358
      9.33908       1.26221
      9.39655       1.24119
      9.45402       1.22078
      9.51149       1.20147
      9.56896       1.18346
      9.62644       1.16716
      9.68391       1.15268
      9.74138       1.14033
      9.79885       1.13026
      9.85632       1.12227
      9.91379       1.12053
