#           x            Ma
     0.086207      0.241097
     0.143678      0.241805
      0.20115       0.24251
     0.258621      0.243193
     0.316092      0.243908
     0.373564      0.244691
     0.431035       0.24555
     0.488507      0.246491
     0.545978      0.247516
     0.603449      0.248631
     0.660921      0.249842
     0.718392      0.251153
     0.775863      0.252567
     0.833334       0.25409
     0.890806      0.255723
     0.948277       0.25747
      1.00575      0.259335
      1.06322       0.26132
      1.12069      0.263429
      1.17816      0.265664
      1.23563      0.268029
       1.2931      0.270528
      1.35058      0.273162
      1.40805      0.275937
      1.46552      0.278856
      1.52299      0.281922
      1.58046       0.28514
      1.63793      0.288513
       1.6954      0.292046
      1.75287      0.295745
      1.81035      0.299612
      1.86782      0.303654
      1.92529      0.307874
      1.98276       0.31228
      2.04023      0.316876
       2.0977      0.321668
      2.15517      0.326663
      2.21264      0.331866
      2.27011      0.337284
      2.32758      0.342924
      2.38506      0.348791
      2.44253      0.354894
          2.5       0.36124
      2.55747      0.367837
      2.61494      0.374691
      2.67241       0.38181
      2.72988      0.389203
      2.78735      0.396879
      2.84482      0.404845
      2.90229       0.41311
      2.95977      0.421682
      3.01724       0.43057
      3.07471      0.439782
      3.13218      0.449329
      3.18965      0.459217
      3.24712      0.469456
      3.30459      0.480054
      3.36206      0.491019
      3.41953       0.50236
        3.477      0.514085
      3.53447        0.5262
      3.59195      0.538714
      3.64942      0.551632
      3.70689      0.564962
      3.76436      0.578707
      3.82183      0.592872
       3.8793       0.60746
      3.93677      0.622474
      3.99424      0.637914
      4.05171      0.653779
      4.10918      0.670067
      4.16666      0.686775
      4.22413      0.703895
       4.2816      0.721418
      4.33907      0.739333
      4.39654      0.757624
      4.45401      0.776269
      4.51148      0.795244
      4.56895      0.814518
      4.62643       0.83405
       4.6839      0.853789
      4.74137      0.873673
      4.79884      0.893629
      4.85631      0.913565
      4.91378      0.933378
      4.97125      0.952947
      5.02873      0.972149
       5.0862      0.990863
      5.14367       1.00899
      5.20114       1.02647
      5.25861       1.04328
      5.31608       1.05946
      5.37355        1.0751
      5.43103       1.09031
       5.4885       1.10523
      5.54597          1.12
      5.60344       1.13471
      5.66091       1.14944
      5.71838       1.16423
      5.77585       1.17908
      5.83333       1.19397
       5.8908       1.20887
      5.94827       1.22375
      6.00574       1.23858
      6.06321       1.25333
      6.12068       1.26801
      6.17815       1.28261
      6.23563       1.29711
       6.2931       1.31152
      6.35057       1.32585
      6.40804       1.34008
      6.46551       1.35422
      6.52298       1.36826
      6.58045        1.3822
      6.63793       1.39603
       6.6954       1.40976
      6.75287       1.42337
      6.81034       1.43685
      6.86781       1.45021
      6.92528       1.46342
      6.98275        1.4765
      7.04022       1.48942
       7.0977       1.50218
      7.15517       1.51477
      7.21264       1.52719
      7.27011       1.53943
      7.32758       1.55149
      7.38505       1.56336
      7.44252       1.57503
          7.5       1.58651
      7.55747       1.59778
      7.61494       1.60885
      7.67241       1.61971
      7.72988       1.63036
      7.78735       1.64079
      7.84482       1.65101
      7.90229         1.661
      7.95977       1.67077
      8.01724        1.6803
      8.07471        1.6896
      8.13218       1.69867
      8.18965       1.70749
      8.24712       1.71607
      8.30459        1.7244
      8.36207       1.73247
      8.41954       1.74029
      8.47701       1.74784
      8.53448       1.75514
      8.59195       1.76216
      8.64942       1.76891
      8.70689       1.77539
      8.76437       1.78159
      8.82184        1.7875
      8.87931       1.79314
      8.93678        1.7985
      8.99425       1.80357
      9.05172       1.80835
      9.10919       1.81284
      9.16666       1.81704
      9.22414       1.82095
      9.28161       1.82457
      9.33908        1.8279
      9.39655       1.83093
      9.45402       1.83367
      9.51149       1.83611
      9.56896       1.83826
      9.62644        1.8401
      9.68391       1.84165
      9.74138        1.8429
      9.79885       1.84384
      9.85632       1.84449
      9.91379       1.84485
