#           x            Ma
     0.086207      0.241065
     0.143678      0.241773
      0.20115       0.24248
     0.258621      0.243163
     0.316092      0.243879
     0.373564      0.244663
     0.431035      0.245524
     0.488507      0.246465
     0.545978      0.247491
     0.603449      0.248607
     0.660921      0.249819
     0.718392       0.25113
     0.775863      0.252545
     0.833334      0.254068
     0.890806      0.255702
     0.948277       0.25745
      1.00575      0.259315
      1.06322        0.2613
      1.12069       0.26341
      1.17816      0.265646
      1.23563      0.268011
       1.2931       0.27051
      1.35058      0.273145
      1.40805      0.275921
      1.46552      0.278839
      1.52299      0.281905
      1.58046      0.285123
      1.63793      0.288497
       1.6954      0.292031
      1.75287      0.295729
      1.81035      0.299597
      1.86782      0.303639
      1.92529       0.30786
      1.98276      0.312266
      2.04023      0.316862
       2.0977      0.321655
      2.15517      0.326649
      2.21264      0.331853
      2.27011      0.337271
      2.32758       0.34291
      2.38506      0.348778
      2.44253      0.354881
          2.5      0.361226
      2.55747      0.367822
      2.61494      0.374677
      2.67241      0.381796
      2.72988      0.389189
      2.78735      0.396864
      2.84482       0.40483
      2.90229      0.413094
      2.95977      0.421666
      3.01724      0.430554
      3.07471      0.439767
      3.13218      0.449312
      3.18965        0.4592
      3.24712      0.469439
      3.30459      0.480036
      3.36206      0.491001
      3.41953      0.502342
        3.477      0.514066
      3.53447      0.526181
      3.59195      0.538695
      3.64942      0.551612
      3.70689      0.564942
      3.76436      0.578686
      3.82183      0.592851
       3.8793      0.607439
      3.93677      0.622452
      3.99424      0.637892
      4.05171      0.653757
      4.10918      0.670045
      4.16666      0.686752
      4.22413      0.703872
       4.2816      0.721395
      4.33907      0.739309
      4.39654        0.7576
      4.45401      0.776245
      4.51148      0.795221
      4.56895      0.814493
      4.62643      0.834024
       4.6839      0.853761
      4.74137      0.873645
      4.79884        0.8936
      4.85631      0.913536
      4.91378      0.933348
      4.97125      0.952916
      5.02873      0.972116
       5.0862      0.990828
      5.14367       1.00895
      5.20114       1.02643
      5.25861       1.04324
      5.31608       1.05942
      5.37355       1.07506
      5.43103       1.09027
       5.4885       1.10519
      5.54597       1.11996
      5.60344       1.13467
      5.66091        1.1494
      5.71838       1.16419
      5.77585       1.17904
      5.83333       1.19393
       5.8908       1.20883
      5.94827       1.22371
      6.00574       1.23854
      6.06321       1.25329
      6.12068       1.26797
      6.17815       1.28256
      6.23563       1.29707
       6.2931       1.31148
      6.35057        1.3258
      6.40804       1.34003
      6.46551       1.35417
      6.52298       1.36821
      6.58045       1.38215
      6.63793       1.39598
       6.6954       1.40971
      6.75287       1.42332
      6.81034        1.4368
      6.86781       1.45015
      6.92528       1.46337
      6.98275       1.47645
      7.04022       1.48936
       7.0977       1.50212
      7.15517       1.51471
      7.21264       1.52713
      7.27011       1.53937
      7.32758       1.55143
      7.38505       1.56329
      7.44252       1.57497
          7.5       1.58645
      7.55747       1.59772
      7.61494       1.60879
      7.67241       1.61965
      7.72988        1.6303
      7.78735       1.64073
      7.84482       1.65094
      7.90229       1.66093
      7.95977        1.6707
      8.01724       1.68023
      8.07471       1.68953
      8.13218        1.6986
      8.18965       1.70742
      8.24712         1.716
      8.30459       1.72432
      8.36207        1.7324
      8.41954       1.74021
      8.47701       1.74777
      8.53448       1.75506
      8.59195       1.76209
      8.64942       1.76884
      8.70689       1.77532
      8.76437       1.78152
      8.82184       1.78743
      8.87931       1.79307
      8.93678       1.79842
      8.99425       1.80349
      9.05172       1.80827
      9.10919       1.81276
      9.16666       1.81696
      9.22414       1.82087
      9.28161       1.82449
      9.33908       1.82781
      9.39655       1.83084
      9.45402       1.83358
      9.51149       1.83602
      9.56896       1.83816
      9.62644          1.84
      9.68391       1.84155
      9.74138       1.84279
      9.79885       1.84373
      9.85632       1.84438
      9.91379       1.84474
