#           x            Ma
     0.086207      0.240968
     0.143678      0.241677
      0.20115      0.242384
     0.258621      0.243069
     0.316092      0.243786
     0.373564       0.24457
     0.431035      0.245431
     0.488507      0.246374
     0.545978      0.247401
     0.603449      0.248518
     0.660921      0.249729
     0.718392      0.251041
     0.775863      0.252457
     0.833334       0.25398
     0.890806      0.255614
     0.948277      0.257362
      1.00575      0.259227
      1.06322      0.261213
      1.12069      0.263323
      1.17816      0.265559
      1.23563      0.267925
       1.2931      0.270424
      1.35058       0.27306
      1.40805      0.275835
      1.46552      0.278754
      1.52299      0.281821
      1.58046      0.285039
      1.63793      0.288413
       1.6954      0.291947
      1.75287      0.295646
      1.81035      0.299513
      1.86782      0.303556
      1.92529      0.307777
      1.98276      0.312183
      2.04023       0.31678
       2.0977      0.321573
      2.15517      0.326568
      2.21264      0.331771
      2.27011      0.337189
      2.32758      0.342829
      2.38506      0.348697
      2.44253      0.354801
          2.5      0.361147
      2.55747      0.367744
      2.61494      0.374598
      2.67241      0.381718
      2.72988      0.389112
      2.78735      0.396788
      2.84482      0.404754
      2.90229      0.413019
      2.95977      0.421591
      3.01724       0.43048
      3.07471      0.439693
      3.13218      0.449239
      3.18965      0.459128
      3.24712      0.469367
      3.30459      0.479965
      3.36206      0.490931
      3.41953      0.502272
        3.477      0.513997
      3.53447      0.526112
      3.59195      0.538626
      3.64942      0.551545
      3.70689      0.564875
      3.76436      0.578621
      3.82183      0.592787
       3.8793      0.607375
      3.93677       0.62239
      3.99424       0.63783
      4.05171      0.653696
      4.10918      0.669984
      4.16666      0.686692
      4.22413      0.703812
       4.2816      0.721335
      4.33907       0.73925
      4.39654      0.757541
      4.45401      0.776187
      4.51148      0.795163
      4.56895      0.814436
      4.62643      0.833968
       4.6839      0.853705
      4.74137      0.873585
      4.79884      0.893533
      4.85631      0.913464
      4.91378      0.933273
      4.97125      0.952842
      5.02873      0.972044
       5.0862      0.990762
      5.14367       1.00889
      5.20114       1.02637
      5.25861       1.04319
      5.31608       1.05937
      5.37355       1.07501
      5.43103       1.09022
       5.4885       1.10514
      5.54597       1.11991
      5.60344       1.13462
      5.66091       1.14936
      5.71838       1.16415
      5.77585         1.179
      5.83333       1.19389
       5.8908       1.20879
      5.94827       1.22367
      6.00574        1.2385
      6.06321       1.25326
      6.12068       1.26794
      6.17815       1.28253
      6.23563       1.29704
       6.2931       1.31145
      6.35057       1.32577
      6.40804          1.34
      6.46551       1.35414
      6.52298       1.36819
      6.58045       1.38213
      6.63793       1.39597
       6.6954       1.40969
      6.75287        1.4233
      6.81034       1.43679
      6.86781       1.45015
      6.92528       1.46336
      6.98275       1.47644
      7.04022       1.48936
       7.0977       1.50212
      7.15517       1.51471
      7.21264       1.52714
      7.27011       1.53938
      7.32758       1.55144
      7.38505       1.56331
      7.44252       1.57498
          7.5       1.58646
      7.55747       1.59774
      7.61494       1.60881
      7.67241       1.61967
      7.72988       1.63032
      7.78735       1.64076
      7.84482       1.65098
      7.90229       1.66097
      7.95977       1.67074
      8.01724       1.68027
      8.07471       1.68958
      8.13218       1.69865
      8.18965       1.70747
      8.24712       1.71605
      8.30459       1.72438
      8.36207       1.73245
      8.41954       1.74027
      8.47701       1.74783
      8.53448       1.75512
      8.59195       1.76215
      8.64942        1.7689
      8.70689       1.77538
      8.76437       1.78158
      8.82184        1.7875
      8.87931       1.79314
      8.93678       1.79849
      8.99425       1.80356
      9.05172       1.80834
      9.10919       1.81283
      9.16666       1.81703
      9.22414       1.82095
      9.28161       1.82456
      9.33908       1.82789
      9.39655       1.83092
      9.45402       1.83365
      9.51149       1.83609
      9.56896       1.83823
      9.62644       1.84008
      9.68391       1.84162
      9.74138       1.84286
      9.79885        1.8438
      9.85632       1.84444
      9.91379        1.8448
