#           x            Ma
     0.086207      0.241094
     0.143678      0.241801
      0.20115      0.242506
     0.258621      0.243188
     0.316092      0.243904
     0.373564      0.244686
     0.431035      0.245546
     0.488507      0.246486
     0.545978      0.247512
     0.603449      0.248627
     0.660921      0.249838
     0.718392      0.251148
     0.775863      0.252563
     0.833334      0.254085
     0.890806      0.255718
     0.948277      0.257465
      1.00575       0.25933
      1.06322      0.261315
      1.12069      0.263424
      1.17816      0.265659
      1.23563      0.268024
       1.2931      0.270523
      1.35058      0.273157
      1.40805      0.275933
      1.46552      0.278851
      1.52299      0.281917
      1.58046      0.285135
      1.63793      0.288508
       1.6954      0.292041
      1.75287       0.29574
      1.81035      0.299607
      1.86782      0.303649
      1.92529      0.307869
      1.98276      0.312275
      2.04023      0.316871
       2.0977      0.321664
      2.15517      0.326659
      2.21264      0.331862
      2.27011       0.33728
      2.32758      0.342919
      2.38506      0.348787
      2.44253      0.354891
          2.5      0.361237
      2.55747      0.367833
      2.61494      0.374687
      2.67241      0.381807
      2.72988        0.3892
      2.78735      0.396875
      2.84482      0.404841
      2.90229      0.413106
      2.95977      0.421678
      3.01724      0.430566
      3.07471      0.439779
      3.13218      0.449325
      3.18965      0.459214
      3.24712      0.469453
      3.30459      0.480051
      3.36206      0.491016
      3.41953      0.502357
        3.477      0.514082
      3.53447      0.526197
      3.59195      0.538711
      3.64942       0.55163
      3.70689      0.564959
      3.76436      0.578704
      3.82183      0.592869
       3.8793      0.607458
      3.93677      0.622472
      3.99424      0.637912
      4.05171      0.653777
      4.10918      0.670066
      4.16666      0.686774
      4.22413      0.703894
       4.2816      0.721417
      4.33907      0.739333
      4.39654      0.757624
      4.45401      0.776269
      4.51148      0.795245
      4.56895      0.814518
      4.62643       0.83405
       4.6839      0.853789
      4.74137      0.873674
      4.79884       0.89363
      4.85631      0.913567
      4.91378       0.93338
      4.97125      0.952949
      5.02873      0.972151
       5.0862      0.990865
      5.14367       1.00899
      5.20114       1.02647
      5.25861       1.04328
      5.31608       1.05946
      5.37355        1.0751
      5.43103       1.09031
       5.4885       1.10523
      5.54597          1.12
      5.60344       1.13471
      5.66091       1.14945
      5.71838       1.16424
      5.77585       1.17909
      5.83333       1.19398
       5.8908       1.20888
      5.94827       1.22376
      6.00574       1.23859
      6.06321       1.25334
      6.12068       1.26802
      6.17815       1.28262
      6.23563       1.29712
       6.2931       1.31154
      6.35057       1.32586
      6.40804       1.34009
      6.46551       1.35423
      6.52298       1.36827
      6.58045       1.38221
      6.63793       1.39604
       6.6954       1.40977
      6.75287       1.42338
      6.81034       1.43687
      6.86781       1.45022
      6.92528       1.46344
      6.98275       1.47651
      7.04022       1.48943
       7.0977       1.50219
      7.15517       1.51478
      7.21264        1.5272
      7.27011       1.53944
      7.32758        1.5515
      7.38505       1.56337
      7.44252       1.57505
          7.5       1.58653
      7.55747        1.5978
      7.61494       1.60887
      7.67241       1.61973
      7.72988       1.63038
      7.78735       1.64081
      7.84482       1.65103
      7.90229       1.66102
      7.95977       1.67079
      8.01724       1.68032
      8.07471       1.68962
      8.13218       1.69869
      8.18965       1.70751
      8.24712       1.71609
      8.30459       1.72442
      8.36207       1.73249
      8.41954       1.74031
      8.47701       1.74787
      8.53448       1.75516
      8.59195       1.76218
      8.64942       1.76894
      8.70689       1.77542
      8.76437       1.78162
      8.82184       1.78753
      8.87931       1.79317
      8.93678       1.79852
      8.99425       1.80359
      9.05172       1.80837
      9.10919       1.81287
      9.16666       1.81707
      9.22414       1.82098
      9.28161        1.8246
      9.33908       1.82793
      9.39655       1.83096
      9.45402        1.8337
      9.51149       1.83614
      9.56896       1.83828
      9.62644       1.84013
      9.68391       1.84168
      9.74138       1.84292
      9.79885       1.84387
      9.85632       1.84452
      9.91379       1.84488
