#           x            Ma
     0.086207      0.241018
     0.143678      0.241727
      0.20115      0.242434
     0.258621      0.243119
     0.316092      0.243836
     0.373564       0.24462
     0.431035      0.245482
     0.488507      0.246424
     0.545978      0.247451
     0.603449      0.248568
     0.660921       0.24978
     0.718392      0.251092
     0.775863      0.252507
     0.833334       0.25403
     0.890806      0.255665
     0.948277      0.257413
      1.00575      0.259279
      1.06322      0.261265
      1.12069      0.263375
      1.17816      0.265612
      1.23563      0.267977
       1.2931      0.270477
      1.35058      0.273112
      1.40805      0.275888
      1.46552      0.278807
      1.52299      0.281873
      1.58046      0.285091
      1.63793      0.288465
       1.6954      0.291999
      1.75287      0.295698
      1.81035      0.299566
      1.86782      0.303608
      1.92529      0.307829
      1.98276      0.312235
      2.04023      0.316832
       2.0977      0.321625
      2.15517       0.32662
      2.21264      0.331824
      2.27011      0.337242
      2.32758      0.342882
      2.38506       0.34875
      2.44253      0.354854
          2.5        0.3612
      2.55747      0.367796
      2.61494       0.37465
      2.67241       0.38177
      2.72988      0.389163
      2.78735      0.396838
      2.84482      0.404804
      2.90229      0.413069
      2.95977       0.42164
      3.01724      0.430529
      3.07471      0.439741
      3.13218      0.449287
      3.18965      0.459175
      3.24712      0.469413
      3.30459      0.480011
      3.36206      0.490976
      3.41953      0.502316
        3.477      0.514041
      3.53447      0.526156
      3.59195      0.538669
      3.64942      0.551587
      3.70689      0.564916
      3.76436       0.57866
      3.82183      0.592825
       3.8793      0.607413
      3.93677      0.622426
      3.99424      0.637866
      4.05171       0.65373
      4.10918      0.670018
      4.16666      0.686725
      4.22413      0.703844
       4.2816      0.721367
      4.33907      0.739282
      4.39654      0.757572
      4.45401      0.776217
      4.51148      0.795192
      4.56895      0.814464
      4.62643      0.833995
       4.6839      0.853732
      4.74137      0.873616
      4.79884      0.893571
      4.85631      0.913507
      4.91378      0.933317
      4.97125      0.952885
      5.02873      0.972084
       5.0862      0.990797
      5.14367       1.00892
      5.20114        1.0264
      5.25861        1.0432
      5.31608       1.05938
      5.37355       1.07502
      5.43103       1.09023
       5.4885       1.10515
      5.54597       1.11992
      5.60344       1.13463
      5.66091       1.14937
      5.71838       1.16416
      5.77585       1.17901
      5.83333        1.1939
       5.8908        1.2088
      5.94827       1.22367
      6.00574        1.2385
      6.06321       1.25326
      6.12068       1.26794
      6.17815       1.28253
      6.23563       1.29704
       6.2931       1.31145
      6.35057       1.32577
      6.40804          1.34
      6.46551       1.35414
      6.52298       1.36818
      6.58045       1.38212
      6.63793       1.39595
       6.6954       1.40968
      6.75287       1.42329
      6.81034       1.43677
      6.86781       1.45013
      6.92528       1.46334
      6.98275       1.47642
      7.04022       1.48933
       7.0977       1.50209
      7.15517       1.51469
      7.21264        1.5271
      7.27011       1.53934
      7.32758       1.55139
      7.38505       1.56326
      7.44252       1.57493
          7.5        1.5864
      7.55747       1.59767
      7.61494       1.60874
      7.67241        1.6196
      7.72988       1.63025
      7.78735       1.64068
      7.84482       1.65089
      7.90229       1.66089
      7.95977       1.67066
      8.01724       1.68021
      8.07471       1.68952
      8.13218        1.6986
      8.18965       1.70743
      8.24712       1.71602
      8.30459       1.72436
      8.36207       1.73245
      8.41954       1.74028
      8.47701       1.74785
      8.53448       1.75515
      8.59195       1.76218
      8.64942       1.76893
      8.70689       1.77541
      8.76437       1.78161
      8.82184       1.78753
      8.87931       1.79316
      8.93678        1.7985
      8.99425       1.80356
      9.05172       1.80833
      9.10919       1.81281
      9.16666         1.817
      9.22414        1.8209
      9.28161       1.82451
      9.33908       1.82782
      9.39655       1.83085
      9.45402       1.83357
      9.51149         1.836
      9.56896       1.83814
      9.62644       1.83998
      9.68391       1.84151
      9.74138       1.84275
      9.79885       1.84369
      9.85632       1.84434
      9.91379        1.8447
