#           x            Ma
     0.086207    6.2283e-13
     0.143678   9.69789e-13
      0.20115   1.26945e-12
     0.258621   1.01211e-12
     0.316092   5.89371e-13
     0.373564   8.49113e-13
     0.431035   1.88874e-12
     0.488507   3.61196e-12
     0.545978   7.18294e-12
     0.603449   1.48676e-11
     0.660921    3.0944e-11
     0.718392   6.39699e-11
     0.775863   1.31016e-10
     0.833334   2.65846e-10
     0.890806   5.34339e-10
     0.948277    1.0637e-09
      1.00575    2.0969e-09
      1.06322   4.09276e-09
      1.12069   7.90775e-09
      1.17816    1.5122e-08
      1.23563   2.86157e-08
       1.2931   5.35732e-08
      1.35058   9.92092e-08
      1.40805   1.81686e-07
      1.46552    3.2897e-07
      1.52299   5.88782e-07
      1.58046   1.04137e-06
      1.63793    1.8197e-06
       1.6954   3.14061e-06
      1.75287   5.35208e-06
      1.81035   9.00317e-06
      1.86782   1.49449e-05
      1.92529   2.44721e-05
      1.98276   3.95169e-05
      2.04023   6.29028e-05
       2.0977   9.86666e-05
      2.15517   0.000152446
      2.21264   0.000231922
      2.27011   0.000347286
      2.32758    0.00051168
      2.38506   0.000741534
      2.44253    0.00105672
          2.5    0.00148042
      2.55747    0.00203865
      2.61494    0.00275936
      2.67241     0.0036712
      2.72988    0.00480201
      2.78735    0.00617719
      2.84482    0.00781826
      2.90229    0.00974164
      2.95977      0.011958
      3.01724     0.0144723
      3.07471     0.0172839
      3.13218     0.0203874
      3.18965     0.0237741
      3.24712     0.0274326
      3.30459     0.0313503
      3.36206     0.0355146
      3.41953     0.0399129
        3.477      0.044534
      3.53447     0.0493674
      3.59195     0.0544034
      3.64942     0.0596337
      3.70689     0.0650506
      3.76436     0.0706472
      3.82183     0.0764169
       3.8793     0.0823532
      3.93677     0.0884502
      3.99424     0.0947015
      4.05171      0.101101
      4.10918      0.107641
      4.16666      0.114314
      4.22413      0.121113
       4.2816      0.128028
      4.33907      0.135051
      4.39654       0.14217
      4.45401      0.149375
      4.51148      0.156655
      4.56895      0.163998
      4.62643      0.171391
       4.6839      0.178824
      4.74137      0.186285
      4.79884      0.193764
      4.85631      0.201253
      4.91378      0.208746
      4.97125      0.216242
      5.02873      0.223738
       5.0862      0.231236
      5.14367      0.238736
      5.20114      0.246244
      5.25861      0.253762
      5.31608      0.261291
      5.37355      0.268833
      5.43103      0.276388
       5.4885      0.283955
      5.54597      0.291531
      5.60344      0.299114
      5.66091      0.306702
      5.71838      0.314292
      5.77585       0.32188
      5.83333      0.329464
       5.8908      0.337041
      5.94827      0.344608
      6.00574      0.352162
      6.06321        0.3597
      6.12068       0.36722
      6.17815      0.374719
      6.23563      0.382195
       6.2931      0.389646
      6.35057       0.39707
      6.40804      0.404464
      6.46551      0.411829
      6.52298      0.419161
      6.58045       0.42646
      6.63793      0.433724
       6.6954      0.440954
      6.75287      0.448148
      6.81034      0.455306
      6.86781      0.462426
      6.92528       0.46951
      6.98275      0.476556
      7.04022      0.483566
       7.0977      0.490538
      7.15517      0.497474
      7.21264      0.504376
      7.27011      0.511236
      7.32758      0.518074
      7.38505      0.524859
      7.44252      0.531637
          7.5      0.538351
      7.55747      0.545068
      7.61494      0.551728
      7.67241      0.558379
      7.72988      0.564995
      7.78735      0.571589
      7.84482       0.57816
      7.90229      0.584716
      7.95977      0.591244
      8.01724      0.597767
      8.07471      0.604271
      8.13218      0.610766
      8.18965      0.617251
      8.24712      0.623737
      8.30459      0.630215
      8.36207        0.6367
      8.41954      0.643187
      8.47701      0.649686
      8.53448      0.656194
      8.59195      0.662724
      8.64942      0.669273
      8.70689      0.675852
      8.76437       0.68246
      8.82184      0.689111
      8.87931      0.695805
      8.93678      0.702553
      8.99425       0.70936
      9.05172       0.71624
      9.10919      0.723196
      9.16666      0.730244
      9.22414      0.737393
      9.28161      0.744661
      9.33908      0.752059
      9.39655      0.759609
      9.45402      0.767326
      9.51149      0.775238
      9.56896      0.783367
      9.62644      0.791746
      9.68391      0.800406
      9.74138      0.809388
      9.79885      0.818756
      9.85632      0.828246
      9.91379      0.841709
