#           x            Ma
     0.086207      0.237594
     0.143678      0.238346
      0.20115      0.239092
     0.258621      0.239811
     0.316092       0.24056
     0.373564      0.241376
     0.431035      0.242269
     0.488507      0.243241
     0.545978      0.244297
     0.603449      0.245441
     0.660921      0.246679
     0.718392      0.248016
     0.775863      0.249456
     0.833334      0.251001
     0.890806      0.252657
     0.948277      0.254426
      1.00575       0.25631
      1.06322      0.258314
      1.12069      0.260441
      1.17816      0.262693
      1.23563      0.265074
       1.2931      0.267587
      1.35058      0.270235
      1.40805      0.273022
      1.46552      0.275952
      1.52299      0.279028
      1.58046      0.282255
      1.63793      0.285637
       1.6954      0.289177
      1.75287      0.292881
      1.81035      0.296753
      1.86782      0.300798
      1.92529      0.305022
      1.98276       0.30943
      2.04023      0.314027
       2.0977      0.318819
      2.15517      0.323814
      2.21264      0.329016
      2.27011      0.334432
      2.32758      0.340069
      2.38506      0.345934
      2.44253      0.352034
          2.5      0.358375
      2.55747      0.364967
      2.61494      0.371815
      2.67241      0.378928
      2.72988      0.386315
      2.78735      0.393983
      2.84482      0.401941
      2.90229      0.410197
      2.95977       0.41876
      3.01724      0.427638
      3.07471      0.436841
      3.13218      0.446377
      3.18965      0.456253
      3.24712      0.466479
      3.30459      0.477063
      3.36206      0.488013
      3.41953      0.499337
        3.477      0.511044
      3.53447      0.523139
      3.59195      0.535632
      3.64942      0.548526
      3.70689       0.56183
      3.76436      0.575545
      3.82183      0.589679
       3.8793      0.604232
      3.93677      0.619207
      3.99424      0.634603
      4.05171      0.650422
      4.10918      0.666658
      4.16666      0.683309
      4.22413      0.700366
       4.2816       0.71782
      4.33907      0.735659
      4.39654      0.753867
      4.45401       0.77242
      4.51148      0.791294
      4.56895      0.810455
      4.62643      0.829862
       4.6839      0.849463
      4.74137      0.869195
      4.79884      0.888982
      4.85631      0.908732
      4.91378      0.928339
      4.97125      0.947686
      5.02873      0.966647
       5.0862      0.985107
      5.14367       1.00297
      5.20114       1.02018
      5.25861       1.03672
      5.31608       1.05265
      5.37355       1.06803
      5.43103       1.08301
       5.4885       1.09771
      5.54597       1.11226
      5.60344       1.12677
      5.66091        1.1413
      5.71838       1.15588
      5.77585       1.17052
      5.83333       1.18518
       5.8908       1.19985
      5.94827       1.21449
      6.00574       1.22908
      6.06321       1.24359
      6.12068       1.25802
      6.17815       1.27236
      6.23563       1.28661
       6.2931       1.30076
      6.35057       1.31482
      6.40804       1.32879
      6.46551       1.34266
      6.52298       1.35642
      6.58045       1.37008
      6.63793       1.38362
       6.6954       1.39705
      6.75287       1.41035
      6.81034       1.42352
      6.86781       1.43655
      6.92528       1.44943
      6.98275       1.46216
      7.04022       1.47472
       7.0977       1.48712
      7.15517       1.49933
      7.21264       1.51136
      7.27011        1.5232
      7.32758       1.53485
      7.38505       1.54629
      7.44252       1.55752
          7.5       1.56855
      7.55747       1.57935
      7.61494       1.58994
      7.67241        1.6003
      7.72988       1.61044
      7.78735       1.62033
      7.84482       1.62999
      7.90229       1.63941
      7.95977       1.64859
      8.01724       1.65751
      8.07471       1.66617
      8.13218       1.67457
      8.18965        1.6827
      8.24712       1.69055
      8.30459       1.69812
      8.36207       1.70541
      8.41954       1.71241
      8.47701       1.71911
      8.53448       1.72551
      8.59195        1.7316
      8.64942       1.73738
      8.70689       1.74283
      8.76437       1.74796
      8.82184       1.75275
      8.87931        1.7572
      8.93678       1.76131
      8.99425       1.76507
      9.05172       1.76847
      9.10919       1.77151
      9.16666       1.77418
      9.22414       1.77646
      9.28161       1.77836
      9.33908       1.77985
      9.39655       1.78093
      9.45402       1.78158
      9.51149       1.78179
      9.56896       1.78155
      9.62644       1.78083
      9.68391       1.77963
      9.74138       1.77792
      9.79885       1.77576
      9.85632       1.77306
      9.91379       1.77034
