#           x            Ma
     0.086207      0.241258
     0.143678      0.241959
      0.20115      0.242659
     0.258621      0.243338
     0.316092      0.244048
     0.373564      0.244827
     0.431035      0.245682
     0.488507      0.246619
     0.545978      0.247641
     0.603449      0.248753
     0.660921       0.24996
     0.718392      0.251267
     0.775863      0.252679
     0.833334      0.254198
     0.890806      0.255828
     0.948277      0.257573
      1.00575      0.259436
      1.06322      0.261419
      1.12069      0.263525
      1.17816      0.265759
      1.23563      0.268123
       1.2931       0.27062
      1.35058      0.273253
      1.40805      0.276028
      1.46552      0.278945
      1.52299       0.28201
      1.58046      0.285227
      1.63793      0.288599
       1.6954      0.292132
      1.75287       0.29583
      1.81035      0.299697
      1.86782      0.303739
      1.92529      0.307959
      1.98276      0.312365
      2.04023      0.316962
       2.0977      0.321754
      2.15517      0.326749
      2.21264      0.331952
      2.27011       0.33737
      2.32758       0.34301
      2.38506      0.348878
      2.44253      0.354982
          2.5      0.361328
      2.55747      0.367925
      2.61494      0.374779
      2.67241      0.381899
      2.72988      0.389293
      2.78735      0.396969
      2.84482      0.404935
      2.90229        0.4132
      2.95977      0.421773
      3.01724      0.430662
      3.07471      0.439875
      3.13218      0.449421
      3.18965       0.45931
      3.24712      0.469549
      3.30459      0.480148
      3.36206      0.491114
      3.41953      0.502455
        3.477       0.51418
      3.53447      0.526296
      3.59195       0.53881
      3.64942      0.551729
      3.70689      0.565059
      3.76436      0.578804
      3.82183       0.59297
       3.8793      0.607559
      3.93677      0.622574
      3.99424      0.638014
      4.05171      0.653879
      4.10918      0.670168
      4.16666      0.686876
      4.22413      0.703996
       4.2816       0.72152
      4.33907      0.739435
      4.39654      0.757725
      4.45401      0.776371
      4.51148      0.795346
      4.56895       0.81462
      4.62643      0.834151
       4.6839      0.853889
      4.74137      0.873773
      4.79884      0.893728
      4.85631      0.913664
      4.91378      0.933475
      4.97125      0.953043
      5.02873      0.972241
       5.0862      0.990952
      5.14367       1.00908
      5.20114       1.02655
      5.25861       1.04336
      5.31608       1.05953
      5.37355       1.07516
      5.43103       1.09037
       5.4885       1.10528
      5.54597       1.12003
      5.60344       1.13474
      5.66091       1.14947
      5.71838       1.16425
      5.77585       1.17908
      5.83333       1.19395
       5.8908       1.20884
      5.94827       1.22371
      6.00574       1.23852
      6.06321       1.25327
      6.12068       1.26794
      6.17815       1.28252
      6.23563         1.297
       6.2931        1.3114
      6.35057        1.3257
      6.40804       1.33991
      6.46551       1.35403
      6.52298       1.36805
      6.58045       1.38197
      6.63793       1.39579
       6.6954       1.40949
      6.75287       1.42308
      6.81034       1.43654
      6.86781       1.44987
      6.92528       1.46306
      6.98275        1.4761
      7.04022       1.48899
       7.0977       1.50172
      7.15517       1.51428
      7.21264       1.52667
      7.27011       1.53888
      7.32758        1.5509
      7.38505       1.56274
      7.44252       1.57437
          7.5       1.58581
      7.55747       1.59705
      7.61494       1.60807
      7.67241       1.61889
      7.72988        1.6295
      7.78735       1.63988
      7.84482       1.65005
      7.90229       1.65998
      7.95977        1.6697
      8.01724       1.67918
      8.07471       1.68842
      8.13218       1.69743
      8.18965       1.70619
      8.24712       1.71471
      8.30459       1.72297
      8.36207       1.73097
      8.41954       1.73872
      8.47701        1.7462
      8.53448       1.75341
      8.59195       1.76035
      8.64942       1.76702
      8.70689       1.77342
      8.76437       1.77953
      8.82184       1.78536
      8.87931        1.7909
      8.93678       1.79615
      8.99425       1.80112
      9.05172       1.80579
      9.10919       1.81017
      9.16666       1.81425
      9.22414       1.81805
      9.28161       1.82154
      9.33908       1.82474
      9.39655       1.82764
      9.45402       1.83024
      9.51149       1.83254
      9.56896       1.83453
      9.62644       1.83622
      9.68391       1.83761
      9.74138        1.8387
      9.79885       1.83947
      9.85632       1.83994
      9.91379       1.84015
