#           x            Ma
     0.086207      0.241081
     0.143678      0.241788
      0.20115      0.242494
     0.258621      0.243176
     0.316092      0.243891
     0.373564      0.244674
     0.431035      0.245533
     0.488507      0.246474
     0.545978        0.2475
     0.603449      0.248615
     0.660921      0.249825
     0.718392      0.251136
     0.775863      0.252551
     0.833334      0.254073
     0.890806      0.255706
     0.948277      0.257453
      1.00575      0.259318
      1.06322      0.261303
      1.12069      0.263412
      1.17816      0.265647
      1.23563      0.268012
       1.2931      0.270511
      1.35058      0.273145
      1.40805      0.275921
      1.46552      0.278839
      1.52299      0.281906
      1.58046      0.285123
      1.63793      0.288497
       1.6954       0.29203
      1.75287      0.295728
      1.81035      0.299596
      1.86782      0.303637
      1.92529      0.307858
      1.98276      0.312264
      2.04023      0.316861
       2.0977      0.321653
      2.15517      0.326648
      2.21264      0.331851
      2.27011      0.337269
      2.32758      0.342909
      2.38506      0.348777
      2.44253       0.35488
          2.5      0.361226
      2.55747      0.367823
      2.61494      0.374677
      2.67241      0.381797
      2.72988       0.38919
      2.78735      0.396866
      2.84482      0.404832
      2.90229      0.413097
      2.95977      0.421669
      3.01724      0.430557
      3.07471       0.43977
      3.13218      0.449316
      3.18965      0.459205
      3.24712      0.469444
      3.30459      0.480042
      3.36206      0.491008
      3.41953      0.502349
        3.477      0.514074
      3.53447      0.526189
      3.59195      0.538703
      3.64942      0.551622
      3.70689      0.564952
      3.76436      0.578697
      3.82183      0.592863
       3.8793      0.607451
      3.93677      0.622465
      3.99424      0.637905
      4.05171      0.653771
      4.10918       0.67006
      4.16666      0.686767
      4.22413      0.703888
       4.2816      0.721412
      4.33907      0.739328
      4.39654      0.757618
      4.45401      0.776264
      4.51148       0.79524
      4.56895      0.814515
      4.62643      0.834047
       4.6839      0.853786
      4.74137       0.87367
      4.79884      0.893627
      4.85631      0.913564
      4.91378      0.933377
      4.97125      0.952947
      5.02873      0.972149
       5.0862      0.990864
      5.14367       1.00899
      5.20114       1.02647
      5.25861       1.04328
      5.31608       1.05946
      5.37355        1.0751
      5.43103       1.09031
       5.4885       1.10523
      5.54597          1.12
      5.60344       1.13471
      5.66091       1.14945
      5.71838       1.16424
      5.77585       1.17909
      5.83333       1.19398
       5.8908       1.20888
      5.94827       1.22376
      6.00574       1.23859
      6.06321       1.25335
      6.12068       1.26803
      6.17815       1.28262
      6.23563       1.29713
       6.2931       1.31154
      6.35057       1.32587
      6.40804        1.3401
      6.46551       1.35424
      6.52298       1.36828
      6.58045       1.38222
      6.63793       1.39605
       6.6954       1.40978
      6.75287       1.42339
      6.81034       1.43688
      6.86781       1.45023
      6.92528       1.46345
      6.98275       1.47652
      7.04022       1.48944
       7.0977        1.5022
      7.15517       1.51479
      7.21264       1.52722
      7.27011       1.53946
      7.32758       1.55152
      7.38505       1.56339
      7.44252       1.57507
          7.5       1.58655
      7.55747       1.59782
      7.61494       1.60889
      7.67241       1.61975
      7.72988        1.6304
      7.78735       1.64083
      7.84482       1.65105
      7.90229       1.66104
      7.95977       1.67081
      8.01724       1.68035
      8.07471       1.68965
      8.13218       1.69871
      8.18965       1.70754
      8.24712       1.71611
      8.30459       1.72444
      8.36207       1.73252
      8.41954       1.74034
      8.47701        1.7479
      8.53448       1.75519
      8.59195       1.76221
      8.64942       1.76897
      8.70689       1.77545
      8.76437       1.78165
      8.82184       1.78756
      8.87931        1.7932
      8.93678       1.79856
      8.99425       1.80363
      9.05172       1.80841
      9.10919        1.8129
      9.16666       1.81711
      9.22414       1.82102
      9.28161       1.82464
      9.33908       1.82797
      9.39655         1.831
      9.45402       1.83374
      9.51149       1.83619
      9.56896       1.83833
      9.62644       1.84018
      9.68391       1.84173
      9.74138       1.84298
      9.79885       1.84392
      9.85632       1.84457
      9.91379       1.84494
