#           x            Ma
     0.086207      0.235014
     0.143678      0.235689
      0.20115      0.236366
     0.258621      0.237029
     0.316092      0.237729
     0.373564      0.238499
     0.431035      0.239349
     0.488507      0.240281
     0.545978        0.2413
     0.603449      0.242411
     0.660921       0.24362
     0.718392      0.244929
     0.775863      0.246344
     0.833334      0.247867
     0.890806      0.249502
     0.948277      0.251252
      1.00575       0.25312
      1.06322      0.255109
      1.12069      0.257223
      1.17816      0.259465
      1.23563      0.261839
       1.2931      0.264346
      1.35058      0.266992
      1.40805      0.269778
      1.46552       0.27271
      1.52299       0.27579
      1.58046      0.279024
      1.63793      0.282415
       1.6954      0.285967
      1.75287      0.289687
      1.81035      0.293578
      1.86782      0.297646
      1.92529      0.301895
      1.98276      0.306331
      2.04023      0.310961
       2.0977      0.315787
      2.15517      0.320817
      2.21264      0.326058
      2.27011      0.331513
      2.32758      0.337191
      2.38506      0.343097
      2.44253      0.349237
          2.5      0.355619
      2.55747      0.362249
      2.61494      0.369136
      2.67241      0.376285
      2.72988      0.383705
      2.78735      0.391405
      2.84482      0.399391
      2.90229      0.407674
      2.95977      0.416259
      3.01724      0.425157
      3.07471      0.434375
      3.13218      0.443922
      3.18965      0.453806
      3.24712      0.464036
      3.30459       0.47462
      3.36206      0.485565
      3.41953      0.496881
        3.477      0.508576
      3.53447      0.520656
      3.59195      0.533129
      3.64942      0.546001
      3.70689      0.559278
      3.76436      0.572965
      3.82183      0.587065
       3.8793      0.601582
      3.93677      0.616518
      3.99424      0.631873
      4.05171      0.647644
      4.10918       0.66383
      4.16666      0.680425
      4.22413      0.697422
       4.2816      0.714811
      4.33907      0.732577
      4.39654      0.750705
      4.45401      0.769171
      4.51148      0.787947
      4.56895         0.807
      4.62643      0.826286
       4.6839      0.845752
      4.74137      0.865333
      4.79884      0.884952
      4.85631      0.904515
      4.91378      0.923915
      4.97125      0.943033
      5.02873      0.961745
       5.0862      0.979937
      5.14367      0.997518
      5.20114       1.01443
      5.25861       1.03068
      5.31608        1.0463
      5.37355       1.06138
      5.43103       1.07607
       5.4885       1.09049
      5.54597       1.10476
      5.60344       1.11898
      5.66091       1.13323
      5.71838       1.14752
      5.77585       1.16186
      5.83333       1.17621
       5.8908       1.19056
      5.94827       1.20487
      6.00574       1.21911
      6.06321       1.23327
      6.12068       1.24735
      6.17815       1.26132
      6.23563       1.27519
       6.2931       1.28895
      6.35057       1.30262
      6.40804       1.31617
      6.46551       1.32962
      6.52298       1.34295
      6.58045       1.35615
      6.63793       1.36923
       6.6954       1.38217
      6.75287       1.39496
      6.81034        1.4076
      6.86781       1.42007
      6.92528       1.43236
      6.98275       1.44448
      7.04022       1.45641
       7.0977       1.46814
      7.15517       1.47965
      7.21264       1.49095
      7.27011       1.50202
      7.32758       1.51286
      7.38505       1.52346
      7.44252       1.53381
          7.5       1.54391
      7.55747       1.55374
      7.61494        1.5633
      7.67241       1.57258
      7.72988       1.58157
      7.78735       1.59028
      7.84482       1.59868
      7.90229       1.60675
      7.95977       1.61452
      8.01724       1.62194
      8.07471       1.62903
      8.13218       1.63575
      8.18965        1.6421
      8.24712       1.64807
      8.30459       1.65363
      8.36207        1.6588
      8.41954       1.66352
      8.47701        1.6678
      8.53448       1.67161
      8.59195       1.67492
      8.64942       1.67773
      8.70689       1.67998
      8.76437       1.68167
      8.82184       1.68274
      8.87931       1.68323
      8.93678       1.68309
      8.99425       1.68208
      9.05172       1.68019
      9.10919       1.67748
      9.16666       1.67378
      9.22414       1.66902
      9.28161       1.66295
      9.33908        1.6555
      9.39655       1.64629
      9.45402       1.63522
      9.51149       1.62172
      9.56896       1.60569
      9.62644       1.58632
      9.68391       1.56375
      9.74138       1.53744
      9.79885       1.50859
      9.85632       1.47804
      9.91379       1.45173
