#           x            Ma
     0.086207      0.241752
     0.143678      0.242458
      0.20115      0.243163
     0.258621      0.243844
     0.316092      0.244558
     0.373564      0.245338
     0.431035      0.246196
     0.488507      0.247134
     0.545978      0.248157
     0.603449       0.24927
     0.660921      0.250478
     0.718392      0.251786
     0.775863      0.253198
     0.833334      0.254717
     0.890806      0.256347
     0.948277      0.258091
      1.00575      0.259953
      1.06322      0.261935
      1.12069       0.26404
      1.17816      0.266272
      1.23563      0.268635
       1.2931      0.271129
      1.35058       0.27376
      1.40805      0.276531
      1.46552      0.279446
      1.52299      0.282508
      1.58046      0.285722
      1.63793      0.289091
       1.6954       0.29262
      1.75287      0.296313
      1.81035      0.300176
      1.86782      0.304212
      1.92529      0.308428
      1.98276      0.312829
      2.04023      0.317419
       2.0977      0.322206
      2.15517      0.327195
      2.21264      0.332392
      2.27011      0.337804
      2.32758      0.343437
      2.38506      0.349298
      2.44253      0.355394
          2.5      0.361733
      2.55747      0.368322
      2.61494      0.375169
      2.67241      0.382281
      2.72988      0.389667
      2.78735      0.397335
      2.84482      0.405293
      2.90229       0.41355
      2.95977      0.422113
      3.01724      0.430993
      3.07471      0.440198
      3.13218      0.449735
      3.18965      0.459614
      3.24712      0.469844
      3.30459      0.480433
      3.36206      0.491388
      3.41953      0.502719
        3.477      0.514434
      3.53447      0.526539
      3.59195      0.539042
      3.64942       0.55195
      3.70689      0.565268
      3.76436      0.579002
      3.82183      0.593155
       3.8793      0.607731
      3.93677      0.622732
      3.99424      0.638159
      4.05171      0.654009
      4.10918      0.670283
      4.16666      0.686975
      4.22413      0.704078
       4.2816      0.721585
      4.33907      0.739482
      4.39654      0.757753
      4.45401      0.776378
      4.51148      0.795332
      4.56895      0.814581
      4.62643      0.834088
       4.6839      0.853799
      4.74137      0.873655
      4.79884      0.893579
      4.85631      0.913482
      4.91378      0.933258
      4.97125      0.952788
      5.02873      0.971946
       5.0862      0.990614
      5.14367       1.00869
      5.20114       1.02612
      5.25861       1.04288
      5.31608       1.05901
      5.37355       1.07459
      5.43103       1.08974
       5.4885       1.10461
      5.54597       1.11932
      5.60344       1.13398
      5.66091       1.14866
      5.71838       1.16339
      5.77585       1.17818
      5.83333       1.19301
       5.8908       1.20784
      5.94827       1.22266
      6.00574       1.23742
      6.06321       1.25211
      6.12068       1.26672
      6.17815       1.28125
      6.23563       1.29568
       6.2931       1.31002
      6.35057       1.32427
      6.40804       1.33843
      6.46551       1.35249
      6.52298       1.36645
      6.58045       1.38031
      6.63793       1.39406
       6.6954        1.4077
      6.75287       1.42123
      6.81034       1.43462
      6.86781       1.44788
      6.92528         1.461
      6.98275       1.47398
      7.04022        1.4868
       7.0977       1.49946
      7.15517       1.51194
      7.21264       1.52425
      7.27011       1.53638
      7.32758       1.54833
      7.38505       1.56008
      7.44252       1.57164
          7.5       1.58299
      7.55747       1.59413
      7.61494       1.60507
      7.67241        1.6158
      7.72988       1.62631
      7.78735        1.6366
      7.84482       1.64667
      7.90229       1.65651
      7.95977       1.66613
      8.01724       1.67551
      8.07471       1.68465
      8.13218       1.69355
      8.18965        1.7022
      8.24712        1.7106
      8.30459       1.71875
      8.36207       1.72664
      8.41954       1.73426
      8.47701       1.74162
      8.53448       1.74871
      8.59195       1.75553
      8.64942       1.76207
      8.70689       1.76833
      8.76437       1.77431
      8.82184          1.78
      8.87931        1.7854
      8.93678       1.79051
      8.99425       1.79533
      9.05172       1.79985
      9.10919       1.80408
      9.16666       1.80802
      9.22414       1.81165
      9.28161       1.81499
      9.33908       1.81802
      9.39655       1.82075
      9.45402       1.82318
      9.51149        1.8253
      9.56896       1.82712
      9.62644       1.82863
      9.68391       1.82983
      9.74138       1.83072
      9.79885        1.8313
      9.85632       1.83157
      9.91379       1.83159
