#           x            Ma
     0.086207      0.241087
     0.143678      0.241794
      0.20115        0.2425
     0.258621      0.243182
     0.316092      0.243898
     0.373564       0.24468
     0.431035       0.24554
     0.488507       0.24648
     0.545978      0.247505
     0.603449       0.24862
     0.660921      0.249831
     0.718392      0.251142
     0.775863      0.252556
     0.833334      0.254079
     0.890806      0.255712
     0.948277      0.257459
      1.00575      0.259323
      1.06322      0.261308
      1.12069      0.263417
      1.17816      0.265652
      1.23563      0.268018
       1.2931      0.270516
      1.35058      0.273151
      1.40805      0.275926
      1.46552      0.278844
      1.52299      0.281911
      1.58046      0.285128
      1.63793      0.288502
       1.6954      0.292035
      1.75287      0.295733
      1.81035        0.2996
      1.86782      0.303642
      1.92529      0.307863
      1.98276      0.312269
      2.04023      0.316866
       2.0977      0.321658
      2.15517      0.326653
      2.21264      0.331856
      2.27011      0.337274
      2.32758      0.342913
      2.38506      0.348781
      2.44253      0.354885
          2.5      0.361231
      2.55747      0.367827
      2.61494      0.374681
      2.67241      0.381801
      2.72988      0.389195
      2.78735       0.39687
      2.84482      0.404836
      2.90229      0.413101
      2.95977      0.421673
      3.01724      0.430561
      3.07471      0.439774
      3.13218      0.449321
      3.18965      0.459209
      3.24712      0.469448
      3.30459      0.480046
      3.36206      0.491012
      3.41953      0.502352
        3.477      0.514077
      3.53447      0.526193
      3.59195      0.538707
      3.64942      0.551625
      3.70689      0.564955
      3.76436      0.578701
      3.82183      0.592866
       3.8793      0.607454
      3.93677      0.622469
      3.99424      0.637909
      4.05171      0.653774
      4.10918      0.670063
      4.16666      0.686771
      4.22413      0.703891
       4.2816      0.721415
      4.33907       0.73933
      4.39654      0.757621
      4.45401      0.776267
      4.51148      0.795243
      4.56895      0.814517
      4.62643      0.834049
       4.6839      0.853788
      4.74137      0.873673
      4.79884      0.893629
      4.85631      0.913566
      4.91378      0.933379
      4.97125      0.952949
      5.02873      0.972151
       5.0862      0.990865
      5.14367       1.00899
      5.20114       1.02647
      5.25861       1.04328
      5.31608       1.05946
      5.37355        1.0751
      5.43103       1.09031
       5.4885       1.10523
      5.54597          1.12
      5.60344       1.13471
      5.66091       1.14945
      5.71838       1.16424
      5.77585       1.17909
      5.83333       1.19398
       5.8908       1.20888
      5.94827       1.22376
      6.00574       1.23859
      6.06321       1.25335
      6.12068       1.26803
      6.17815       1.28262
      6.23563       1.29713
       6.2931       1.31154
      6.35057       1.32586
      6.40804       1.34009
      6.46551       1.35423
      6.52298       1.36827
      6.58045       1.38222
      6.63793       1.39605
       6.6954       1.40978
      6.75287       1.42339
      6.81034       1.43688
      6.86781       1.45023
      6.92528       1.46345
      6.98275       1.47652
      7.04022       1.48944
       7.0977        1.5022
      7.15517       1.51479
      7.21264       1.52721
      7.27011       1.53945
      7.32758       1.55151
      7.38505       1.56338
      7.44252       1.57506
          7.5       1.58654
      7.55747       1.59781
      7.61494       1.60888
      7.67241       1.61974
      7.72988       1.63039
      7.78735       1.64083
      7.84482       1.65104
      7.90229       1.66103
      7.95977        1.6708
      8.01724       1.68034
      8.07471       1.68964
      8.13218        1.6987
      8.18965       1.70753
      8.24712        1.7161
      8.30459       1.72443
      8.36207       1.73251
      8.41954       1.74033
      8.47701       1.74789
      8.53448       1.75518
      8.59195        1.7622
      8.64942       1.76896
      8.70689       1.77544
      8.76437       1.78164
      8.82184       1.78755
      8.87931       1.79319
      8.93678       1.79855
      8.99425       1.80362
      9.05172        1.8084
      9.10919       1.81289
      9.16666       1.81709
      9.22414       1.82101
      9.28161       1.82463
      9.33908       1.82795
      9.39655       1.83099
      9.45402       1.83373
      9.51149       1.83617
      9.56896       1.83831
      9.62644       1.84016
      9.68391       1.84171
      9.74138       1.84296
      9.79885        1.8439
      9.85632       1.84455
      9.91379       1.84492
