#           x            Ma
     0.086207      0.241021
     0.143678      0.241754
      0.20115      0.242484
     0.258621      0.243186
     0.316092      0.243919
     0.373564      0.244718
     0.431035      0.245595
     0.488507       0.24655
     0.545978      0.247589
     0.603449      0.248717
     0.660921      0.249939
     0.718392       0.25126
     0.775863      0.252684
     0.833334      0.254214
     0.890806      0.255855
     0.948277      0.257608
      1.00575      0.259478
      1.06322      0.261468
      1.12069       0.26358
      1.17816      0.265817
      1.23563      0.268184
       1.2931      0.270683
      1.35058      0.273317
      1.40805      0.276091
      1.46552      0.279007
      1.52299       0.28207
      1.58046      0.285284
      1.63793      0.288653
       1.6954       0.29218
      1.75287      0.295872
      1.81035      0.299733
      1.86782      0.303767
      1.92529       0.30798
      1.98276      0.312378
      2.04023      0.316964
       2.0977      0.321747
      2.15517      0.326731
      2.21264      0.331923
      2.27011      0.337329
      2.32758      0.342956
      2.38506      0.348811
      2.44253        0.3549
          2.5      0.361232
      2.55747      0.367814
      2.61494      0.374652
      2.67241      0.381755
      2.72988      0.389132
      2.78735       0.39679
      2.84482      0.404737
      2.90229      0.412982
      2.95977      0.421535
      3.01724      0.430402
      3.07471      0.439593
      3.13218      0.449117
      3.18965      0.458982
      3.24712      0.469196
      3.30459      0.479769
      3.36206      0.490709
      3.41953      0.502024
        3.477      0.513721
      3.53447      0.525808
      3.59195      0.538292
      3.64942      0.551181
      3.70689      0.564478
      3.76436      0.578191
      3.82183      0.592322
       3.8793      0.606875
      3.93677      0.621851
      3.99424      0.637252
      4.05171      0.653076
      4.10918      0.669321
      4.16666      0.685983
      4.22413      0.703055
       4.2816      0.720527
      4.33907      0.738387
      4.39654       0.75662
      4.45401      0.775204
      4.51148      0.794113
      4.56895      0.813315
      4.62643      0.832769
       4.6839      0.852424
      4.74137      0.872218
      4.79884      0.892076
      4.85631      0.911906
      4.91378      0.931604
      4.97125      0.951049
      5.02873      0.970119
       5.0862      0.988695
      5.14367       1.00668
      5.20114       1.02401
      5.25861       1.04067
      5.31608       1.05671
      5.37355        1.0722
      5.43103       1.08727
       5.4885       1.10206
      5.54597        1.1167
      5.60344       1.13129
      5.66091        1.1459
      5.71838       1.16056
      5.77585       1.17528
      5.83333       1.19003
       5.8908       1.20479
      5.94827       1.21954
      6.00574       1.23422
      6.06321       1.24884
      6.12068       1.26337
      6.17815       1.27782
      6.23563       1.29218
       6.2931       1.30644
      6.35057       1.32061
      6.40804       1.33469
      6.46551       1.34867
      6.52298       1.36256
      6.58045       1.37634
      6.63793       1.39001
       6.6954       1.40357
      6.75287       1.41701
      6.81034       1.43033
      6.86781       1.44351
      6.92528       1.45654
      6.98275       1.46943
      7.04022       1.48215
       7.0977       1.49472
      7.15517       1.50711
      7.21264       1.51933
      7.27011       1.53136
      7.32758       1.54321
      7.38505       1.55486
      7.44252       1.56632
          7.5       1.57757
      7.55747       1.58861
      7.61494       1.59944
      7.67241       1.61006
      7.72988       1.62047
      7.78735       1.63065
      7.84482        1.6406
      7.90229       1.65033
      7.95977       1.65982
      8.01724       1.66908
      8.07471        1.6781
      8.13218       1.68687
      8.18965        1.6954
      8.24712       1.70367
      8.30459       1.71168
      8.36207       1.71942
      8.41954       1.72691
      8.47701       1.73412
      8.53448       1.74106
      8.59195       1.74771
      8.64942       1.75409
      8.70689       1.76018
      8.76437       1.76599
      8.82184        1.7715
      8.87931       1.77672
      8.93678       1.78163
      8.99425       1.78625
      9.05172       1.79056
      9.10919       1.79457
      9.16666       1.79827
      9.22414       1.80167
      9.28161       1.80475
      9.33908       1.80752
      9.39655       1.80998
      9.45402       1.81211
      9.51149       1.81393
      9.56896       1.81542
      9.62644       1.81659
      9.68391       1.81743
      9.74138       1.81793
      9.79885        1.8181
      9.85632       1.81796
      9.91379       1.81759
