#           x            Ma
     0.086207      0.211417
     0.143678      0.212964
      0.20115      0.214408
     0.258621      0.215695
     0.316092      0.216934
     0.373564       0.21819
     0.431035      0.219478
     0.488507      0.220799
     0.545978      0.222161
     0.603449      0.223571
     0.660921      0.225038
     0.718392       0.22657
     0.775863      0.228169
     0.833334       0.22984
     0.890806      0.231586
     0.948277      0.233409
      1.00575      0.235311
      1.06322      0.237294
      1.12069       0.23936
      1.17816      0.241511
      1.23563       0.24375
       1.2931      0.246079
      1.35058        0.2485
      1.40805      0.251016
      1.46552       0.25363
      1.52299      0.256344
      1.58046      0.259163
      1.63793      0.262088
       1.6954      0.265123
      1.75287      0.268272
      1.81035      0.271539
      1.86782      0.274927
      1.92529      0.278441
      1.98276      0.282084
      2.04023       0.28586
       2.0977      0.289775
      2.15517      0.293831
      2.21264      0.298035
      2.27011       0.30239
      2.32758      0.306902
      2.38506      0.311575
      2.44253      0.316415
          2.5      0.321426
      2.55747      0.326614
      2.61494      0.331983
      2.67241       0.33754
      2.72988      0.343289
      2.78735      0.349236
      2.84482      0.355386
      2.90229      0.361744
      2.95977      0.368317
      3.01724      0.375108
      3.07471      0.382122
      3.13218      0.389366
      3.18965      0.396842
      3.24712      0.404555
      3.30459      0.412509
      3.36206      0.420708
      3.41953      0.429154
        3.477      0.437849
      3.53447      0.446797
      3.59195      0.455996
      3.64942       0.46545
      3.70689       0.47515
      3.76436      0.485109
      3.82183      0.495301
       3.8793       0.50575
      3.93677      0.516416
      3.99424      0.527324
      4.05171      0.538433
      4.10918      0.549753
      4.16666      0.561256
      4.22413      0.572929
       4.2816      0.584748
      4.33907       0.59669
      4.39654      0.608722
      4.45401      0.620817
      4.51148      0.632931
      4.56895      0.645028
      4.62643      0.657056
       4.6839      0.668969
      4.74137       0.68071
      4.79884      0.692232
      4.85631      0.703478
      4.91378      0.714411
      4.97125      0.724993
      5.02873      0.735213
       5.0862      0.745069
      5.14367      0.754597
      5.20114      0.763831
      5.25861      0.772833
      5.31608      0.781649
      5.37355      0.790335
      5.43103      0.798915
       5.4885      0.807419
      5.54597      0.815842
      5.60344      0.824187
      5.66091      0.832433
      5.71838      0.840577
      5.77585      0.848593
      5.83333       0.85648
       5.8908      0.864214
      5.94827      0.871797
      6.00574      0.879204
      6.06321      0.886439
      6.12068      0.893476
      6.17815      0.900319
      6.23563      0.906942
       6.2931      0.913352
      6.35057      0.919521
      6.40804       0.92546
      6.46551      0.931139
      6.52298      0.936572
      6.58045      0.941731
      6.63793       0.94663
       6.6954      0.951242
      6.75287      0.955584
      6.81034       0.95963
      6.86781      0.963396
      6.92528      0.966863
      6.98275      0.970044
      7.04022      0.972924
       7.0977      0.975515
      7.15517      0.977807
      7.21264       0.97981
      7.27011      0.981518
      7.32758      0.982946
      7.38505      0.984083
      7.44252      0.984947
          7.5      0.985537
      7.55747      0.985849
      7.61494        0.9859
      7.67241      0.985673
      7.72988      0.985201
      7.78735      0.984506
      7.84482      0.983587
      7.90229      0.982451
      7.95977      0.981108
      8.01724      0.979571
      8.07471      0.977854
      8.13218      0.975972
      8.18965       0.97394
      8.24712      0.971775
      8.30459      0.969492
      8.36207       0.96711
      8.41954      0.964647
      8.47701      0.962123
      8.53448      0.959556
      8.59195      0.956967
      8.64942      0.954376
      8.70689      0.951804
      8.76437      0.949271
      8.82184      0.946801
      8.87931      0.944417
      8.93678      0.942141
      8.99425      0.939995
      9.05172      0.938009
      9.10919      0.936213
      9.16666      0.934623
      9.22414      0.933266
      9.28161      0.932181
      9.33908      0.931403
      9.39655      0.930966
      9.45402      0.930902
      9.51149      0.931281
      9.56896      0.932137
      9.62644      0.933514
      9.68391      0.935437
      9.74138      0.938021
      9.79885      0.941361
      9.85632      0.945185
      9.91379      0.953009
